"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"y_rep[38]",18179.4105,2.23213110393766,133.051827070964,17919.975,18091.75,18179,18268,18442.025,3553.05791731906,0.99940354303842
"y_rep[39]",149234.268,6.46977499741175,398.93696914718,148445.95,148971.75,149238.5,149508,150023.1,3802.1584646188,1.00092686371397
"y_rep[40]",67.369,0.131960311039575,8.36291358205352,52,62,67,73,84,4016.32230370577,0.999724700585883
"y_rep[41]",8996.14575,1.47476709660226,93.9789977598319,8807.975,8934,8996,9059,9181.025,4060.82934948747,0.999383099017084
"y_rep[42]",3255.17025,0.940337845889808,58.1521124464365,3140,3216,3255,3294,3369,3824.3986844713,0.999684113168913
"y_rep[43]",17417.659,2.15692876867527,134.382905945483,17153,17326.75,17416,17506,17684,3881.6506877282,0.999825712105337
"y_rep[44]",7205.83625,1.32479308984197,85.3709375911018,7042,7148,7205,7263,7373.025,4152.6372362508,0.999872901849512
"y_rep[45]",25036.155,2.50837859527019,163.498259609159,24714.975,24927,25035,25147,25361.025,4248.5437600858,0.999360345601909
"y_rep[46]",242.983,0.250938404875746,15.6369542937522,213,232,243,254,273,3883.02393413433,0.999406603630969
"y_rep[47]",66437.9325,4.41028052558046,269.713696005975,65914.975,66254,66435,66624,66962.05,3740.01695979062,1.00009971279613
"y_rep[48]",2276.2895,0.774219791959382,46.8959806166744,2186,2244,2276,2308,2369,3668.95769835589,1.00086003519128
"y_rep[49]",9871.36575,1.84184714109012,113.756384900866,9650,9793,9873,9946,10096.05,3814.55951727398,0.999371591672687
"y_rep[50]",7995.9575,1.38537041395826,89.1819799630931,7823,7937,7996,8055,8171.05,4144.02534539356,1.0003474440752
"y_rep[51]",135.42125,0.185791945206487,11.5940676226469,114,127,135,143,159,3894.19679206633,1.00001137758217
"y_rep[52]",114005.60325,5.64537724391059,350.599950685668,113314.95,113770,114001,114239,114701,3856.89454630807,1.00038747347353
"y_rep[53]",309.72475,0.262816765417538,17.6774888160115,276,298,310,322,345,4524.12931829142,1.00000095459403
"y_rep[54]",117146.7185,5.68309363304562,355.906317145954,116455.95,116904.75,117152,117388,117836.025,3921.94745018075,1.00071535155006
"y_rep[55]",9114.25825,1.5082003420777,95.3681987366337,8926.975,9050,9115,9179,9303.025,3998.42625091867,0.999256367149018
"y_rep[56]",3392.09975,0.91131280737164,58.659905779621,3280,3352,3392,3432,3506,4143.31330483247,0.999671991559925
"y_rep[57]",943.22075,0.489817536619934,31.4647505483401,880.975,922,943,964,1005,4126.48172784069,0.999637416273731
"y_rep[58]",171.56775,0.221134602740454,13.1755952053315,147,162,171,180,198,3549.98956117627,0.999984960130283
"y_rep[59]",90.17025,0.151826511360026,9.51532449722929,72,84,90,96,110,3927.82365100584,0.999376828132293
"y_rep[60]",14914.72,1.93612656307389,120.859512887749,14679.975,14832.75,14914,14997,15158.025,3896.67506349154,0.999382249119316
"y_rep[61]",276.57475,0.263558332932837,16.7053188942127,244,265,276,288,309,4017.50140382622,1.00043065160404
"y_rep[62]",5589.281,1.23267469481951,75.5295585685127,5442,5540,5589.5,5639,5737.025,3754.36879736102,1.00016256823293
"y_rep[63]",151.78375,0.202493959264884,12.3828033737255,128,143,152,160,176,3739.50234268812,0.999575507871175
"y_rep[64]",3355.8355,0.930773382496621,58.9323484613823,3243,3315,3356,3396,3474.025,4008.84796381616,0.999667119894468
"y_rep[65]",7135.5495,1.31774106875403,83.8514747467467,6970,7079.75,7137,7191,7302,4049.12559328223,0.999814423661435
"y_rep[66]",794.77475,0.433606737853019,28.2955327168518,739,776,795,813,851,4258.37305616552,0.999273873951177
"y_rep[67]",18550.86925,2.1028100864291,135.978984499421,18284,18459.75,18551,18644,18814.025,4181.60959878383,1.00066243308591
"y_rep[68]",75694.3935,4.69176797838208,296.928661997,75101.975,75491,75697,75891.25,76280,4005.26438524705,1.00057603218919
"y_rep[69]",898179.9145,21.3176163149692,1306.18286243055,895688.95,897289,898187.5,899060.25,900735.05,3754.31475383783,1.00025818888589
"y_rep[70]",7048.8325,1.35615223206038,85.6709391871322,6882,6990,7048,7107,7216,3990.71000444707,0.999646820841401
"y_rep[71]",171744.63575,7.33679329377067,437.132045471654,170871.95,171446.75,171743.5,172040,172606.025,3549.87224178122,1.00017382723725
"y_rep[72]",9053.25075,1.54251510235373,98.3781044607835,8863,8987,9055,9118,9252,4067.59824376138,1.00051690614936
"y_rep[73]",496.4975,0.375693455249434,22.1712964290845,454,481,496,512,540,3482.69079416408,0.999180201308942
"y_rep[74]",12886.28675,1.8291481195109,112.903469046651,12668,12809,12886,12964,13106,3809.92847429343,0.999437559202091
"y_rep[75]",89117.203,5.00763623021465,304.036246689149,88524.95,88913,89115,89324.25,89701.025,3686.25334225865,1.0010487419267
"y_rep[76]",906.71225,0.469380951621957,29.6907786277386,849,886,907,927,964,4001.21834782988,0.999929874499179
"y_rep[77]",3296.31825,0.927654141089229,57.612704960631,3186,3257,3297,3335,3411.025,3857.13071566236,1.00021721851012
"y_rep[78]",164586.46225,7.06858271619285,448.684625375329,163720.975,164286,164592,164888.25,165449,4029.18944510999,0.999829435628786
"y_rep[79]",43852.66375,3.3414939429095,213.18728243093,43446.975,43706,43847,43995.25,44271,4070.4388113801,0.999734276593946
"y_rep[80]",7704.12525,1.45010339311861,92.0638908717099,7527.975,7643,7704,7765,7881.025,4030.70220852408,0.999231541065704
"y_rep[81]",1494.06175,0.590156768436092,37.4347202007258,1419,1469,1494,1519,1567,4023.59628153821,1.00063612408053
"y_rep[82]",3233.68125,0.92255915042423,56.7418192953992,3124,3195,3234,3271,3348,3782.84085776434,1.00002386761769
"y_rep[83]",19.97575,0.070063410502756,4.4288898952137,12,17,20,23,29,3995.83199121405,0.999594444522529
"y_rep[84]",78166.726,4.56577543407934,288.572218699845,77608,77971,78162,78358,78733.025,3994.66112336266,1.00046994917939
"y_rep[85]",8932.677,1.54649371118162,93.6846885900735,8745,8871,8933,8996,9116.025,3669.78751212371,0.999675945079901
"y_rep[86]",1166.18975,0.531505911396982,33.6255842315971,1101,1144,1166,1188,1233,4002.42755071022,0.999716180165704
