"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"beta[1,2]",1.78218324519013,4.43988638103878e-05,0.0031109388895306,1.77590948546379,1.78011131926809,1.78216602990654,1.78430551736679,1.78836294537091,4909.52241479547,1.00054037157625
"beta[1,3]",-0.888599715628704,4.9422394507397e-05,0.00330961539873229,-0.894979969075408,-0.890909291060474,-0.888622385596591,-0.886352890306966,-0.882174722800187,4484.43249554949,0.999425294859624
"beta[1,4]",0.864007812405976,4.1420425735271e-05,0.00281860186181519,0.858632648013807,0.862151355876896,0.864000379684615,0.865859417301165,0.869566667416788,4630.61156479826,1.00033071220013
"beta[1,5]",-0.785977827140125,5.4775367422517e-05,0.00340937349611143,-0.792614450987977,-0.788299007048941,-0.786010620950944,-0.783754388002666,-0.779259356184979,3874.16900789985,1.00100968891482
"beta[1,6]",-0.729751238044566,4.82021859448144e-05,0.00287134913639775,-0.735351405105793,-0.731710367325853,-0.729759619931728,-0.727873552800879,-0.724221950708448,3548.44876077675,1.00059179698629
"beta[1,7]",-0.428602246387448,2.20903484581848e-05,0.0017960088154154,-0.432076489125347,-0.429771800676892,-0.428636869001141,-0.427390610795893,-0.425062273605348,6610.15730669993,0.999949939099973
"beta[1,8]",-1.9893410371059,0.00012920812085138,0.0068328856803474,-2.00237745635956,-1.99412714021652,-1.98928694738209,-1.98481250808593,-1.97578288065785,2796.589280966,1.00165172358677
"beta[1,9]",1.30471175661948,0.00013006852065931,0.00701010677722277,1.29056957651738,1.30001262758648,1.30474911062311,1.30952303247555,1.31831563883969,2904.72394403632,1.00061529934747
"beta[2,1]",-4.12726278435529,0.00177593522423114,0.0818770802442978,-4.28486107815352,-4.1824247622967,-4.12642374770695,-4.07055701232086,-3.9680531709454,2125.54572524753,1.00108954497767
"beta[2,2]",50.9307543835355,0.0189516888968519,0.880313578306612,49.2098704480656,50.3549138957446,50.9140464263887,51.5028040228142,52.7318826936333,2157.63989727997,1.00008126565775
"beta[2,3]",3.40801919211545,0.000595524834329461,0.0312237382644551,3.34687935246378,3.38656826869599,3.40775995296156,3.42804317277228,3.47262865577564,2748.97026137539,1.00113052523756
"beta[2,4]",0.328568014253836,0.000295528206684823,0.015807186970764,0.298436065853205,0.317907914197449,0.328294541975187,0.339275996952616,0.359384627619063,2860.95682354304,0.999781186808754
"beta[2,5]",-0.523458218509028,0.000748001592271666,0.0397239938391471,-0.603050879542189,-0.549769817434084,-0.522780535961942,-0.496831908024031,-0.446779718276963,2820.33545493518,0.999727758273292
"beta[2,6]",0.207117239979946,0.000143148061640149,0.00786035714328508,0.191885853470907,0.201692596980017,0.207213191721516,0.212410905432711,0.222254830897198,3015.18257701532,0.999772540807759
"beta[2,7]",0.307614558534647,6.88794121649788e-05,0.00486298067209278,0.298148485424053,0.304372543196822,0.307563269130305,0.310762798583483,0.317374326849707,4984.55305320082,0.999416595380928
"beta[2,8]",-0.943986478916545,0.000700080558871852,0.0391306372720261,-1.01998330477724,-0.970522058044248,-0.944371148222866,-0.91718201060348,-0.867785247421171,3124.19265108187,1.00029410857581
"beta[2,9]",-5.63604917062815,0.00240387671731941,0.128392763426954,-5.8928497666415,-5.72006266680283,-5.63479999338172,-5.55118057593168,-5.38391994975575,2852.70399613776,0.999738446369935
"beta[3,1]",-5.9465258556611,2.19213985744547e-05,0.00162580889725279,-5.94972002927938,-5.94763877502835,-5.94650925324706,-5.94542590800007,-5.94330550050781,5500.50387370072,0.999277297105729
"beta[3,2]",0.565954417596285,1.91387512765771e-05,0.00144364273481292,0.563161139786367,0.564972313119888,0.565929589961218,0.566926488925117,0.568805665935184,5689.73791755758,0.999465252339724
"beta[3,3]",-0.219336689377142,9.53814732018818e-06,0.000653146181751579,-0.220617266276837,-0.219771143457079,-0.219336651757648,-0.218891447362695,-0.218046186002842,4689.13496177104,1.00001007557168
"beta[3,4]",-0.291349317146506,3.860979752623e-05,0.00292916044186527,-0.297016042276113,-0.293349086751093,-0.291325629258924,-0.289363463166954,-0.285727580329761,5755.60886026269,0.999300490057763
"beta[3,5]",0.118288282102513,2.04149267928511e-05,0.00157990962146284,0.115149002115782,0.117225562218009,0.118297606187686,0.119352512714617,0.121346070267744,5989.2002495251,0.999448808238006
"beta[3,6]",-0.377536244795327,1.44352898338962e-05,0.00100284538785788,-0.379566048366907,-0.378193202063689,-0.37752230585097,-0.376884347881925,-0.375554525307142,4826.32925860428,1.00014056210544
"beta[3,7]",0.0404967089597985,1.58027858367431e-05,0.00119923155026097,0.0382047142738449,0.0396748777244197,0.0405065093239808,0.0413094410811305,0.0428803936892006,5758.88999080053,0.999516256475699
"beta[3,8]",-0.263989101167814,5.23608326092382e-05,0.00386553386113503,-0.271622606312549,-0.266523076842057,-0.263960173407559,-0.261407277664486,-0.256364611563921,5450.11763606935,0.999578852835399
"beta[3,9]",-0.312680529745626,2.23124669703535e-05,0.00163948369484559,-0.31588056708878,-0.31383007423892,-0.312665387658654,-0.311568735862649,-0.30951463709976,5399.07079979978,0.999401199764952
"y_rep[1]",6317.4115,1.65858233653157,105.634728388492,6113,6244.75,6317,6390,6525,4056.38686783585,1.0007356773337
"y_rep[2]",6053.14025,1.23371927323714,77.9026173140774,5897,6002,6053,6103,6209,3987.23101927246,1.00156147625542
"y_rep[3]",5148.36075,1.20520154093388,74.9572195030366,5001.975,5097,5150,5200,5291.025,3868.18805927018,0.999819147791109
"y_rep[4]",121619.95375,6.03074044991794,392.217750493126,120851.975,121363,121610,121883,122393.1,4229.73553131256,0.999774027636122
"y_rep[5]",8768.8545,1.46098271658488,92.9907234535365,8589.975,8706,8768,8830,8951,4051.25048852513,0.999711110676729
"y_rep[6]",110.5105,0.165566104853288,10.5412603275094,91,103,110,117,132,4053.61235026285,0.999824658914976
"y_rep[7]",41015.55525,3.29142616953173,213.820207692683,40604,40865,41015,41162,41428,4220.16332040362,0.999248220986599
"y_rep[8]",10001.05175,1.60186405428504,101.082718606781,9800,9934,10001,10068,10199.025,3982.01155094761,1.00020365458606
"y_rep[9]",580.55075,0.393725808073108,24.1365815325932,534,564,581,597,630,3758.06039993339,0.999493062060499
"y_rep[10]",721.1025,0.497526938318188,31.9444221308872,659,699,721.5,742,786,4122.46399959214,0.999914502437836
"y_rep[11]",16328.72325,2.09511013762001,131.077967324097,16073,16239,16330,16415,16586.025,3914.22403550394,0.999869484747178
"y_rep[12]",313.81375,0.293060465796679,18.3084232124897,279,301,314,326,350,3902.89991699176,0.999535132897075
"y_rep[13]",668.71,0.410105194164525,26.5894179945203,616,651,669,686,722,4203.65555468505,1.00012789968234
"y_rep[14]",1756.08925,0.714482850547727,45.0351676583868,1671,1725,1755,1787,1844,3973.01266674434,0.999632103171194
"y_rep[15]",17352.1885,2.08174168547668,133.24772683587,17093,17261,17353,17440,17619.025,4096.99977560516,1.00035650460305
"y_rep[16]",597.1415,0.416599542450191,25.3233350010202,548,580,597,614,647,3694.91305370266,1.00023065931569
"y_rep[17]",567.91175,0.369371075121355,23.5565742412813,522,552,568,584,613,4067.22780837512,0.999591533940153
"y_rep[18]",7449.594,1.43799707323794,88.354200693544,7276,7392,7449,7507,7626,3775.18640540332,1.00001876975381
"y_rep[19]",17844.16575,2.20947064541384,137.76943739962,17577.975,17751,17841,17935,18128,3888.02722979036,1.00032153028333
"y_rep[20]",98.84275,0.159646036117001,9.94367847543884,80,92,99,105,118,3879.51885213206,0.999488102765449
"y_rep[21]",11433.07625,1.75376157819205,109.825943521579,11217,11356,11431,11507,11648,3921.64957089978,0.999398955930145
"y_rep[22]",558493.71175,16.8495543382635,1011.16635303511,556511.925,557824.75,558480.5,559170.25,560491.125,3601.37530886914,1.00059585383312
"y_rep[23]",233.77725,0.24770066236985,15.2529602253598,204,224,234,244,264,3791.87436611553,0.999626042706834
"y_rep[24]",289.022,0.275537201157128,16.9757344433156,257,277,289,300,323,3795.74178133044,0.999794605401168
"y_rep[25]",280.68875,0.269405802353237,16.9657104852867,248,269,281,292,315,3965.79456233523,0.999509552892424
"y_rep[26]",3102.91575,0.873170147724011,55.3310313720581,2992,3066,3103,3140,3211,4015.5013123024,0.999872815413715
"y_rep[27]",628.098,0.496415925359113,29.0500752618333,573,607,628,647,686,3424.54685572778,0.999620290042951
"y_rep[28]",58253.02725,4.08449979343322,258.283490757417,57747,58080,58254.5,58427,58749.025,3998.66975555566,0.999453187925713
"y_rep[29]",9304.3085,1.66695208151302,98.3774204630526,9111,9236.75,9305,9371,9494,3482.92907076738,1.00079096948874
"y_rep[30]",39107.773,3.28752952202066,203.482721073422,38707.975,38976,39107,39242,39504,3831.03174112627,0.999794132678613
