,iso_code,new_cases,new_deaths,population,human_development_index,hospital_beds_per_thousand,life_expectancy,median_age,diabetes_prevalence,cardiovasc_death_rate,population_density,gdp_per_capita,range_idh,group_idh,location
0,AFG,-0.14971391471978418,7709.0,39835428.0,-1.579114082094585,-1.0465761023134763,-1.306344146475889,-1.4335413570864937,0.3772384823814125,2.7858080430870507,-0.221690779275676,-0.9057513060563483,"(-2.394, -1.089]",2,Afghanistan
1,ALB,-0.14747249495675732,3497.0,2872934.0,0.38983719520062987,-0.029333718371627893,0.7513871780220522,0.7749636615205672,0.4986151448679314,0.37315819608263634,-0.14481241557777408,-0.3997020710838827,"(0.212, 1.513]",3,Albania
2,ARE,-0.13254544165699972,2305.0,9991083.0,1.0484652633099445,-0.7486390024141901,0.6615299149435404,0.3196018020139566,2.2771548115071334,0.4855789093958964,-0.13327509885084562,2.408523902598488,"(0.212, 1.513]",3,United Arab Emirates
3,ARG,0.06329592577788806,128973.0,45605823.0,0.7364835468371108,0.8687338256105059,0.46683917827342986,0.08053682577298592,-0.6358850881693302,-0.5591880978468953,-0.2799716772047976,-0.03884481494148842,"(0.212, 1.513]",3,Argentina
4,ARM,-0.1440434700174955,8631.0,2968128.0,0.2581115815787668,0.5282342828684647,0.23021505216667984,0.5131305923042664,-0.23707605428505243,0.6764757893862401,-0.1477687482221066,-0.5523274661899451,"(0.212, 1.513]",3,Armenia
5,ATG,-0.15375278400346806,139.0,98728.0,0.27197743564422605,0.3579845114974439,0.5192559150692281,0.10330491874831677,1.2640312409563903,-0.5552416323520584,0.04868107987659352,0.09056099118103739,"(0.212, 1.513]",3,Antigua and Barbuda
6,AUS,0.024056642344243453,8968.0,25788217.0,1.4228433230773432,0.37500948863454603,1.4807286300093148,0.7635796150329017,-0.7423993021881123,-1.2450080023473784,-0.29974405661727904,1.2625231796807792,"(0.212, 1.513]",3,Australia
7,AUT,-0.05298926688261852,19928.0,9043072.0,1.2703189283572929,1.877463720983803,1.1961806302606923,1.5035426367311437,-0.42533373487638865,-0.9369365247211839,-0.14195056366743578,1.302400862077587,"(0.212, 1.513]",3,Austria
8,AZE,-0.13538316980073473,9713.0,10223344.0,0.11945304092417408,0.7410464970822406,-0.08278774755680676,0.13745705821131224,-0.23707605428505266,2.4791783847961306,-0.12281059561959243,-0.19504498878632373,"(-1.089, 0.212]",1,Azerbaijan
9,BDI,-0.1529602978233965,38.0,12255429.0,-2.1198823906474966,-0.9188887737852108,-1.7930709881511653,-1.5587658684508119,-0.4996459772150739,0.28148320326206855,0.34007337845975083,-0.9615089879056327,"(-2.394, -1.089]",2,Burundi
10,BEL,-0.056288131118900464,31933.0,11632334.0,1.3327152716518595,1.1411334598041387,1.2096592197224656,1.2075574280518468,-0.9356111322686942,-1.1864536593999735,0.26769199292340834,1.1618070010419776,"(0.212, 1.513]",3,Belgium
11,BEN,-0.15331361457867843,163.0,12451031.0,-1.3433945629817774,-1.0465761023134763,-1.7646161881763034,-1.4107732641111632,-1.7530457979942322,-0.18995052453454123,-0.1535915044251965,-0.8925806930350294,"(-2.394, -1.089]",2,Benin
12,BFA,-0.1534602619917874,384.0,21497097.0,-1.9881567770256336,-1.0891385451562314,-1.7930709881511653,-1.5473818219631463,-1.398824109513166,0.08358320078610613,-0.19772162661448747,-0.9108568676325918,"(-2.394, -1.089]",2,Burkina Faso
13,BGD,-0.10819272072508244,29131.0,166303494.0,-0.7402299111342999,-0.9188887737852108,-0.14419021066045662,-0.4203612196842855,0.07751243828204872,0.3221425085168094,1.6231430804593394,-0.8187061497451639,"(-1.089, 0.212]",1,Bangladesh
14,BGR,-0.12662978056016233,37194.0,6896655.0,0.5354286628879507,1.9132161729717174,0.22422456796144472,1.5376947761941402,-0.5590957710860222,1.3658961227410942,-0.20529684804488788,-0.05760004238021352,"(0.212, 1.513]",3,Bulgaria
15,BHR,-0.14009312312626643,1489.0,1748295.0,0.7850140360662183,-0.4081394596721489,0.5596916834545603,0.13745705821131224,2.0938512804050426,-0.8833338013194931,2.6454718626428337,1.1937976194057498,"(0.212, 1.513]",3,Bahrain
16,BHS,-0.15312509466882096,811.0,396914.0,0.5215628088224922,-0.025077474087352468,0.054993389163579716,0.35375394147695205,1.2640312409563903,-0.18907719396574668,-0.24443473016055348,0.40569051292714525,"(0.212, 1.513]",3,Bahamas
17,BIH,-0.14509583264970224,15814.0,3263459.0,0.2858432897096853,0.23029718296917853,0.5761655150189543,1.287245753465504,0.49861514486793185,0.5827575325933981,-0.20024365265900826,-0.4042332854496508,"(0.212, 1.513]",3,Bosnia and Herzegovina
18,BLR,-0.13093229669417852,6978.0,9442867.0,0.5839591521170588,3.4224803961758155,0.1852864206274239,1.036796730736867,-0.7151514799972613,1.517830924808506,-0.23321742882295995,-0.12821504252686972,"(0.212, 1.513]",3,Belarus
19,BLZ,-0.152528317915666,682.0,404915.0,-0.15786404038501056,-0.706076559571435,0.15982686275517835,-0.7049623818759171,2.23999869033779,-0.6751515672411158,-0.2795922303860148,-0.6010737496844782,"(-1.089, 0.212]",1,Belize
20,BOL,-0.13260045200088236,21950.0,11832936.0,-0.14399818631955205,-0.7912014452569452,-0.30593328420177934,-0.6594261959252562,-0.29157169866675514,-0.44988171429782836,-0.2890768769727804,-0.6485707811840709,"(-1.089, 0.212]",1,Bolivia
21,BRA,0.5780173390379343,667873.0,213993441.0,0.1818493842187408,-0.32301457398663846,0.34852711522005375,0.26268156957563027,0.010631420177231623,-0.6668796437404554,-0.266465503892056,-0.28330321256028823,"(-1.089, 0.212]",1,Brazil
