"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"sigma[6]",0.857240340154401,0.00382166049802837,0.237293286992057,0.50813844712841,0.690184030325333,0.817421278785405,0.978023024037966,1.41851594966566,3855.37562949906,1.00130402479773
"beta[1,1]",-8.44289359047336,2.18364978387837e-05,0.00159035995863834,-8.44607364396798,-8.44395433936587,-8.44290750852734,-8.44183687198904,-8.43975555469,5304.26107024523,1.00026047519048
"beta[1,2]",-1.81505325235135,3.44405848450277e-05,0.00270372031010429,-1.82031906388516,-1.81686116741062,-1.81501305479902,-1.8132156091293,-1.80987851496541,6162.8626867009,1.00003850905742
"beta[1,3]",0.590702166403459,2.98963525869016e-05,0.00249700012075741,0.585983897258822,0.588990373312132,0.590666694398649,0.592404221864052,0.595582303741909,6975.90749816818,0.999888835972176
"beta[1,4]",0.152341333319377,2.29626430115595e-05,0.00168129577614856,0.14911042095559,0.151219629620768,0.152326987166613,0.153453482265932,0.15568591372158,5360.98380920946,0.999558875326064
"beta[1,5]",-0.862014792171352,2.15242382607987e-05,0.0015026770928388,-0.865036433687977,-0.862985966490766,-0.862011654206149,-0.86101352833952,-0.859089939148642,4873.89030420732,0.999817860271324
"beta[1,6]",-2.49791018955115,5.58574964947037e-05,0.00427774651113291,-2.50635656655988,-2.50081363491639,-2.49790898093789,-2.49504903150241,-2.48941345785844,5864.98840216289,0.999822630185571
"beta[2,1]",-6.41170255431105,0.000644438412874846,0.035421686957852,-6.48046001132172,-6.43562799208614,-6.41176515474799,-6.38743626361079,-6.34201214379512,3021.17333155767,1.00032744484443
"beta[2,2]",2.34385843215084,0.000375227285460738,0.025921918776104,2.29260103723926,2.32597105365015,2.34406215253381,2.36189539910113,2.39333636336768,4772.49484428076,0.999794395246894
"beta[2,3]",0.696084471911288,0.00041249434609597,0.0220491895238805,0.653438520918724,0.681173173557911,0.695979075689445,0.710796885488878,0.74133148567455,2857.25670470055,1.00025827416574
"beta[2,4]",-0.000663588814452098,6.79828776212096e-05,0.00511078095158119,-0.0108982931200114,-0.00404911972780153,-0.000714292204274251,0.00282118529538188,0.00911290103578638,5651.65245717199,0.999799797298221
"beta[2,5]",0.322402559875409,7.11249147693021e-05,0.00510037667204517,0.312237411192251,0.318991201494522,0.32237760218633,0.325925247914124,0.332214991393312,5142.34231652248,0.999188661830735
"beta[2,6]",-0.00216793541085163,0.000587393997020607,0.033750035485164,-0.0679674682756484,-0.0245838861160324,-0.00195106937542675,0.0204040752324086,0.0636828111597877,3301.3339635495,1.00043906667395
"beta[3,1]",-6.17695692005703,1.91066242995258e-05,0.0014487709691788,-6.17973762602676,-6.17795972493611,-6.17696562327109,-6.17597433355931,-6.17409388624756,5749.51937465865,0.999420361331993
"beta[3,2]",-0.21220272405758,9.60778899813055e-06,0.000644139628846701,-0.213464287466308,-0.212636998367277,-0.212190368438061,-0.211771643415642,-0.210937050859981,4494.82847995065,0.999680436577701
"beta[3,3]",0.0992808943972423,1.59586531499298e-05,0.00111796105285177,0.0970909036500558,0.098512272171843,0.0992928811898811,0.100065117758663,0.10140940305392,4907.50642124161,0.999443192978421
"beta[3,4]",-0.227681066497786,1.18137639939948e-05,0.000804952633656882,-0.229263577110733,-0.228213194292114,-0.227685088947946,-0.227145260954954,-0.226089610238099,4642.62996413406,0.999402609416961
"beta[3,5]",0.128631255353885,1.03812737917413e-05,0.000689532778420394,0.127262820340222,0.128186421998894,0.128624057586162,0.129083646757306,0.129982294968206,4411.7261040109,0.999614126922122
"beta[3,6]",-0.984812053625291,4.86657025437015e-05,0.0039645154978734,-0.992533696598056,-0.987480323902971,-0.984859094644005,-0.982153228506353,-0.977084544918418,6636.42583401907,0.999305032665269
"y_rep[1]",5093.75425,1.38851917174382,91.3654845654527,4919,5032,5097,5154,5270,4329.72748595759,0.999331023417947
"y_rep[2]",6987.4325,1.35027117650855,83.943532049189,6823.975,6932,6986,7043,7149.025,3864.84858002535,0.999662557911625
"y_rep[3]",18108.19725,2.26940467716579,137.737403200792,17833,18015,18110,18201,18377.025,3683.66298838096,0.999545552358018
"y_rep[4]",112222.1245,5.66079193253464,371.034181836085,111483,111971.5,112220,112473,112949,4296.09085931194,0.999755386330068
"y_rep[5]",7704.14275,1.42671866335645,89.4226535905824,7530.975,7644,7705,7763,7884,3928.42459788583,0.999645563701232
"y_rep[6]",127.38875,0.178817404202795,11.2111125986195,106,120,127,135,149,3930.77202458703,1.00011913242755
